TF,Symbol,Entry,Direct,Name,returns_describe.count,returns_describe.mean,returns_describe.std,returns_describe.min,returns_describe.25%,returns_describe.50%,returns_describe.75%,returns_describe.max,nonzero_returns_describe.count,nonzero_returns_describe.mean,nonzero_returns_describe.std,nonzero_returns_describe.min,nonzero_returns_describe.25%,nonzero_returns_describe.50%,nonzero_returns_describe.75%,nonzero_returns_describe.max,alpha,annual_returns,annualized_return,annualized_volatility,beta,calmar_ratio,capture,cond_value_at_risk,down_capture,downside_risk,final_value,max_drawdown,omega_ratio,position_coverage,returns_stats.Start,returns_stats.End,returns_stats.Period,returns_stats.Total Return [%],returns_stats.Benchmark Return [%],returns_stats.Annualized Return [%],returns_stats.Annualized Volatility [%],returns_stats.Max Drawdown [%],returns_stats.Max Drawdown Duration,returns_stats.Sharpe Ratio,returns_stats.Calmar Ratio,returns_stats.Omega Ratio,returns_stats.Sortino Ratio,returns_stats.Skew,returns_stats.Kurtosis,returns_stats.Tail Ratio,returns_stats.Common Sense Ratio,returns_stats.Value at Risk,returns_stats.Alpha,returns_stats.Beta,sharpe_ratio,sortino_ratio,stats.Start,stats.End,stats.Period,stats.Start Value,stats.End Value,stats.Total Return [%],stats.Benchmark Return [%],stats.Max Gross Exposure [%],stats.Total Fees Paid,stats.Max Drawdown [%],stats.Max Drawdown Duration,stats.Total Trades,stats.Total Closed Trades,stats.Total Open Trades,stats.Open Trade PnL,stats.Win Rate [%],stats.Best Trade [%],stats.Worst Trade [%],stats.Avg Winning Trade [%],stats.Avg Losing Trade [%],stats.Avg Winning Trade Duration,stats.Avg Losing Trade Duration,stats.Profit Factor,stats.Expectancy,stats.Sharpe Ratio,stats.Calmar Ratio,stats.Omega Ratio,stats.Sortino Ratio,tail_ratio,total_benchmark_return,total_profit,total_return,up_capture,value_at_risk
M20,WIN$,17h00 + Intra Var > -5.0,Long,WIN$ - 17h00 + Intra Var gt -5.0 - Long,34869.0,-2.0202983547103037e-06,0.0005302725060457207,-0.01400918292810171,0.0,0.0,0.0,0.008630931166393343,34840.0,-2.0219800037426385e-06,0.0005304931564741476,-0.01400918292810171,0.0,0.0,0.0,0.008630931166393343,-0.05426267600077861,-0.1369979448178591,-0.055208681185021646,0.08596304495509045,0.05167711194864983,-0.3504256280947722,2.885856667946811,-0.0012647880162705621,0.9686051118558308,0.06422936040701076,92.74169117154803,-0.15754749869518825,0.9687274468784502,0.1262439416100261,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,-7.258308828450877,-2.530352496188426,-5.520868118502165,8.596304495509045,15.754749869518827,474 days 22:40:00,-0.6176309923586818,-0.3504256280947722,0.9687274468784502,-0.8266225979107096,-2.242391889055128,88.77207741228472,1.1865770507963975,1.121067696697516,-0.0002290287854180165,-0.05426267600077861,0.05167711194864983,-0.6176309923586818,-0.8266225979107096,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,92.74169117154803,-7.258308828451973,-2.530352496188426,100.0,0.0,15.754749869519182,474 days 22:40:00,1244,1244,0,0.0,50.40192926045016,1.130980206102134,-2.159175138451163,0.20086307838998196,-0.21862625326775414,0 days 01:10:35.406698564,0 days 01:10:53.289473684,0.9410232344954279,-0.007299098319351674,-0.6176309923586818,-0.3504256280947722,0.9687274468784502,-0.8266225979107096,1.1865770507963975,-0.025303524961865234,-7.258308828451973,-0.07258308828451973,8.074882802659624e-17,-0.0002290287854180165
M20,WIN$,17h00 + Intra Var > -5.0,Short,WIN$ - 17h00 + Intra Var gt -5.0 - Short,34869.0,1.9853399075048176e-06,0.0005298246476009059,-0.008630931166393387,0.0,0.0,0.0,0.014009182928101813,34840.0,1.9869924579444738e-06,0.0005300451117766534,-0.008630931166393387,0.0,0.0,0.0,0.014009182928101813,0.05640250818612924,0.15530706928801163,0.04968389009228247,0.08589044214205366,-0.05163268644329447,0.36873617705183515,-2.597065940261033,-0.0012119342538551964,-30.51406300715168,0.05712113087635888,106.64512753258903,-0.13474102402840216,1.0317274497744753,0.1262439416100261,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,6.645127532588457,-2.530352496188426,4.968389009228247,8.589044214205366,13.474102402840208,352 days 10:00:00,0.6074567957507461,0.36873617705183515,1.0317274497744753,0.913405108910767,2.2195035111400396,88.32044557257231,0.8412831208353468,0.8830813389474226,-0.00027217454906661187,0.05640250818612924,-0.05163268644329447,0.6074567957507461,0.913405108910767,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,106.64512753258903,6.645127532589029,-2.530352496188426,100.0,0.0,13.474102402840233,352 days 10:00:00,1244,1244,0,0.0,48.87459807073955,2.1591751384511513,-1.1309802061021175,0.2186262532677546,-0.2008630783899817,0 days 01:10:53.289473684,0 days 01:10:35.406698564,1.048726329453732,0.0037681428810383,0.6074567957507461,0.36873617705183515,1.0317274497744753,0.913405108910767,0.8412831208353468,-0.025303524961865234,6.645127532589029,0.06645127532589029,-2.9665286846270396e-18,-0.00027217454906661187
M20,WIN$,17h00 + Intra Var < -5.0,Long,WIN$ - 17h00 + Intra Var lt -5.0 - Long,34869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,-0.0,0.0,100.0,0.0,inf,0.0,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,0.0,-2.530352496188426,0.0,0.0,,,inf,,inf,inf,0.0,0.0,inf,inf,0.0,0.0,0.0,inf,inf,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,100.0,0.0,-2.530352496188426,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,inf,-0.025303524961865234,0.0,0.0,0.0,0.0
M20,WIN$,17h00 + Intra Var < -5.0,Short,WIN$ - 17h00 + Intra Var lt -5.0 - Short,34869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,-0.0,0.0,100.0,0.0,inf,0.0,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,0.0,-2.530352496188426,0.0,0.0,,,inf,,inf,inf,0.0,0.0,inf,inf,0.0,0.0,0.0,inf,inf,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,100.0,0.0,-2.530352496188426,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,inf,-0.025303524961865234,0.0,0.0,0.0,0.0
M20,WIN$,17h00 + Intra Var > -3.0,Long,WIN$ - 17h00 + Intra Var gt -3.0 - Long,34869.0,-2.290087106919077e-06,0.0005268090551369431,-0.014009182928101887,0.0,0.0,0.0,0.008630931166393454,34840.0,-2.2919933217899332e-06,0.0005270282634359511,-0.014009182928101887,0.0,0.0,0.0,0.008630931166393454,-0.06091134105398199,-0.13621842451510457,-0.061838549159988765,0.08540158121192541,0.05100459459286261,-0.39646627403159457,3.232411743932881,-0.001257063956536261,0.9678472053897704,0.06399613103693569,91.87919129273018,-0.15597429897671655,0.964305343816198,0.12564168745877427,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,-8.120808707269344,-2.530352496188426,-6.183854915998877,8.54015812119254,15.597429897671672,474 days 22:40:00,-0.7047116495476443,-0.39646627403159457,0.964305343816198,-0.9404238692976278,-2.33451267315113,90.29466781427843,1.178936181119156,1.1060324781265298,-0.0002275113985912392,-0.06091134105398199,0.05100459459286261,-0.7047116495476443,-0.9404238692976278,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,91.87919129273018,-8.120808707269816,-2.530352496188426,100.0,0.0,15.597429897671972,474 days 22:40:00,1238,1238,0,0.0,50.40387722132472,1.130980206102126,-2.1591751384511424,0.19988151444903682,-0.21925194190323843,0 days 01:10:34.615384615,0 days 01:10:54.545454545,0.9337367306720536,-0.008032246827323036,-0.7047116495476443,-0.39646627403159457,0.964305343816198,-0.9404238692976278,1.178936181119156,-0.025303524961865234,-8.120808707269816,-0.08120808707269817,7.764561733976942e-17,-0.0002275113985912392
M20,WIN$,17h00 + Intra Var > -3.0,Short,WIN$ - 17h00 + Intra Var gt -3.0 - Short,34869.0,2.253424296893545e-06,0.0005263609140272033,-0.008630931166393394,0.0,0.0,0.0,0.014009182928101908,34840.0,2.2552999945000302e-06,0.0005265799359768148,-0.008630931166393394,0.0,0.0,0.0,0.014009182928101908,0.06383407501209315,0.15426540164784885,0.05715616171811422,0.085328932575695,-0.050960429321277645,0.44610601510934944,-2.9876549641837182,-0.0011994227441405071,-29.77113230820612,0.05653965361574511,107.65357521833089,-0.1281223740148496,1.0364276097921197,0.12564168745877427,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,7.6535752183297445,-2.530352496188426,5.715616171811422,8.5328932575695,12.812237401484955,352 days 10:00:00,0.6940200555049579,0.44610601510934944,1.0364276097921197,1.0474063199048522,2.3108746110634493,89.83482863472939,0.8483355878769693,0.8968231939288969,-0.0002680180378789966,0.06383407501209315,-0.050960429321277645,0.6940200555049579,1.0474063199048522,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,107.65357521833089,7.653575218330885,-2.530352496188426,100.0,0.0,12.812237401484468,352 days 10:00:00,1238,1238,0,0.0,48.86914378029079,2.1591751384511433,-1.130980206102131,0.21925194190323913,-0.19988151444903635,0 days 01:10:54.545454545,0 days 01:10:34.615384615,1.0565455566478272,0.004605313041403103,0.6940200555049579,0.44610601510934944,1.0364276097921197,1.0474063199048522,0.8483355878769693,-0.025303524961865234,7.653575218330886,0.07653575218330885,-2.9621957332283384e-18,-0.0002680180378789966
M20,WIN$,17h00 + Intra Var < -3.0,Long,WIN$ - 17h00 + Intra Var lt -3.0 - Long,34869.0,2.6978875220875154e-07,6.049722620753283e-05,-0.00475634505833774,0.0,0.0,0.0,0.005743293606270557,29465.0,3.192690989569645e-07,6.581158287763709e-05,-0.00475634505833774,0.0,0.0,0.0,0.005743293606270557,0.007079894996359082,-0.0009024507177300967,0.007066873158160236,0.00980727025603734,0.000672517355787324,0.9172366694702818,-0.36939811977512027,-8.901624606490888e-06,0.023572024617077858,0.005468633339057278,100.93873255378331,-0.007704525335038626,1.605965049458717,0.0006022541512518283,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,0.9387325537834057,-2.530352496188426,0.7066873158160236,0.980727025603734,0.7704525335038578,201 days 18:20:00,0.7229380064938423,0.9172366694702818,1.605965049458717,1.296493651788369,32.33360287368292,5224.173851706658,inf,inf,0.0,0.007079894996359082,0.000672517355787324,0.7229380064938423,1.296493651788369,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,100.93873255378331,0.9387325537833107,-2.530352496188426,100.0,0.0,0.7704525335038752,201 days 18:20:00,6,6,0,0.0,50.0,0.6625339828216479,-0.09623416981321144,0.40502837810659986,-0.09244571177835563,0 days 01:13:20,0 days 01:06:40,4.379525185628746,0.1564554256305518,0.7229380064938423,0.9172366694702818,1.605965049458717,1.296493651788369,inf,-0.025303524961865234,0.9387325537833107,0.009387325537833106,1.1835981695136428e-19,0.0
M20,WIN$,17h00 + Intra Var < -3.0,Short,WIN$ - 17h00 + Intra Var lt -3.0 - Short,34869.0,-2.680843893887206e-07,6.0474268407870234e-05,-0.00572971703651526,0.0,0.0,0.0,0.004757463417692681,29465.0,-3.172521491123468e-07,6.578660977963818e-05,-0.00572971703651526,0.0,0.0,0.0,0.004757463417692681,-0.006985661054562553,0.0009024507177304297,-0.007068276094319592,0.009803548542503033,-0.0006722571220169893,-0.6304055165018951,0.36947145376142965,-1.42853929520949e-05,-0.02414375563122162,0.008129647077560493,99.06324738059413,-0.011212268784609125,0.6247917781118236,0.0006022541512518283,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,-0.9367526194057896,-2.530352496188426,-0.7068276094319592,0.9803548542503032,1.1212268784609063,264 days 06:20:00,-0.7186436342505006,-0.6304055165018951,0.6247917781118236,-0.8666129889674972,-32.06198372689587,5206.2407383926575,inf,inf,0.0,-0.006985661054562553,-0.0006722571220169893,-0.7186436342505006,-0.8666129889674972,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,99.06324738059413,-0.9367526194058655,-2.530352496188426,100.0,0.0,1.1212268784609398,264 days 06:20:00,6,6,0,0.0,50.0,0.0962341698132185,-0.6625339828216465,0.09244571177835463,-0.4050283781066039,0 days 01:06:40,0 days 01:13:20,0.22815582412392724,-0.15612543656764424,-0.7186436342505006,-0.6304055165018951,0.6247917781118236,-0.8666129889674972,inf,-0.025303524961865234,-0.9367526194058655,-0.009367526194058656,-1.1429211059176216e-19,0.0
M20,WIN$,17h00 + Intra Var > -1.0,Long,WIN$ - 17h00 + Intra Var gt -1.0 - Long,34869.0,2.324977591210749e-06,0.0004605361546416375,-0.014009182928101927,0.0,0.0,0.0,0.008630931166393302,34840.0,2.326912848103547e-06,0.00046072778513938154,-0.014009182928101927,0.0,0.0,0.0,0.008630931166393302,0.060845444716847386,-0.07780210738407689,0.06004570378606,0.07465801019955715,0.038977734137454076,0.6064387559010228,-3.138696504483299,-0.0009897965513271296,0.9294922943999946,0.05421757193504098,108.04416986360833,-0.09901363196494006,1.0469640830118148,0.1054518340072844,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,8.044169863608763,-2.530352496188426,6.004570378606,7.465801019955714,9.901363196494005,190 days 02:00:00,0.818403958713877,0.6064387559010228,1.0469640830118148,1.126948495041867,-1.7166597020823442,101.56127740563159,712143324316.3168,754904471421.4344,-1.5294139559598858e-16,0.060845444716847386,0.038977734137454076,0.818403958713877,1.126948495041867,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,108.04416986360833,8.044169863608332,-2.530352496188426,100.0,0.0,9.901363196494128,190 days 02:00:00,1035,1035,0,0.0,52.56038647342996,1.1309802061021337,-1.722892436610551,0.1961153894364244,-0.20441851654659265,0 days 01:11:01.764705882,0 days 01:10:59.751037344,1.080208235058517,0.005962816420689854,0.818403958713877,0.6064387559010228,1.0469640830118148,1.126948495041867,712143324316.3168,-0.025303524961865234,8.044169863608332,0.08044169863608332,4.44409173414946e-17,-1.5294139559598858e-16
M20,WIN$,17h00 + Intra Var > -1.0,Short,WIN$ - 17h00 + Intra Var gt -1.0 - Short,34869.0,-2.3537366715442506e-06,0.00046030385900313014,-0.008630931166393444,0.0,0.0,0.0,0.014009182928101827,34840.0,-2.3556958668219428e-06,0.0004604953927153057,-0.008630931166393444,0.0,0.0,0.0,0.014009182928101827,-0.058068903082691414,0.08226030437592757,-0.06259408589160897,0.07462035250434397,-0.03895761583958494,-0.322293094264666,3.271905002384714,-0.0010313251732908533,-13.077956681431022,0.05133134478207597,91.78102731993093,-0.19421479083944293,0.9545892889106262,0.1054518340072844,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,-8.218972680070157,-2.530352496188426,-6.2594085891608975,7.462035250434397,19.4214790839443,356 days 01:00:00,-0.8289454237646771,-0.322293094264666,0.9545892889106262,-1.2050375845555898,1.6979010762674038,101.36732780944499,1.4232973631971566e-12,1.3342073657958932e-12,-0.00010885893264942813,-0.058068903082691414,-0.03895761583958494,-0.8289454237646771,-1.2050375845555898,2020-07-03 09:00:00,2025-07-03 09:20:00,484 days 07:00:00,100.0,91.78102731993093,-8.218972680069072,-2.530352496188426,100.0,0.0,19.421479083943762,356 days 01:00:00,1035,1035,0,0.0,46.570048309178745,1.7228924366105656,-1.1309802061021272,0.20441851654659265,-0.196115389436425,0 days 01:10:59.751037344,0 days 01:11:01.764705882,0.9217400430989597,-0.009619767723136538,-0.8289454237646771,-0.322293094264666,0.9545892889106262,-1.2050375845555898,1.4232973631971566e-12,-0.025303524961865234,-8.218972680069072,-0.08218972680069073,-2.880503592352919e-18,-0.00010885893264942813
