"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","136,080","135,675","136,365","135,600","7.70M","0.69%"
"07/21/2025","135,145","134,140","136,050","134,040","12.49M","0.48%"
"07/18/2025","134,502","136,565","136,640","134,310","14.21M","-1.74%"
"07/17/2025","136,886","136,210","137,065","135,635","13.36M","-0.01%"
"07/16/2025","136,903","136,640","137,280","135,525","15.16M","0.13%"
"07/15/2025","136,731","136,880","137,535","135,650","14.46M","-0.01%"
"07/14/2025","136,748","137,370","137,720","136,225","12.50M","-0.76%"
"07/11/2025","137,801","138,100","138,255","137,005","13.12M","-0.37%"
"07/10/2025","138,319","137,320","138,875","136,755","14.22M","-0.59%"
"07/09/2025","139,145","141,280","141,340","137,155","14.62M","-1.36%"
"07/08/2025","141,064","141,670","141,895","140,530","14.85M","-0.23%"
"07/07/2025","141,391","143,360","143,415","141,145","14.43M","-1.33%"
"07/04/2025","143,297","142,675","143,825","142,415","9.21M","0.11%"
"07/03/2025","143,138","141,160","143,445","140,865","13.69M","1.43%"
"07/02/2025","141,122","141,830","142,200","140,400","16.12M","-0.48%"
"07/01/2025","141,800","140,900","141,950","140,725","13.40M","0.42%"
"06/30/2025","141,203","139,250","141,450","138,025","13.57M","1.50%"
"06/27/2025","139,110","139,600","139,740","138,300","12.89M","-0.23%"
"06/26/2025","139,433","138,635","139,750","138,325","13.19M","0.94%"
"06/25/2025","138,133","139,300","139,385","137,735","13.45M","-1.07%"
"06/24/2025","139,633","139,860","140,670","138,640","13.39M","0.37%"
"06/23/2025","139,122","139,695","139,945","138,320","13.20M","-0.36%"
"06/20/2025","139,621","141,580","141,745","139,305","11.95M","0.57%"
"06/18/2025","138,833","138,905","139,240","138,280","1.47M","-0.04%"
"06/17/2025","138,894","139,650","139,795","138,280","13.35M","-0.46%"
"06/16/2025","139,537","137,600","140,265","137,550","13.46M","1.58%"
"06/13/2025","137,372","137,385","137,950","136,660","14.39M","-0.49%"
"06/12/2025","138,048","136,830","138,245","136,020","13.90M","0.45%"
"06/11/2025","137,431","137,020","137,950","135,710","14.59M","0.41%"
"06/10/2025","136,869","136,780","137,885","136,500","14.34M","0.49%"
"06/09/2025","136,202","136,775","137,200","134,520","12.93M","-0.42%"
"06/06/2025","136,772","137,400","137,535","136,150","13.16M","-0.03%"
"06/05/2025","136,819","138,010","138,250","136,570","13.74M","-0.58%"
"06/04/2025","137,622","138,650","139,550","137,440","12.50M","-0.49%"
"06/03/2025","138,295","137,525","138,575","136,845","11.29M","0.54%"
